macAddress,ble,uwb,battery_kind,uwbAddress,tokenId,color,added
5CC7C1F89524,network,disabled,CR_3_0_V,,A01959,,
5CC7C1F883C0,network,disabled,CR_3_0_V,,A02274,,
5CC7C1F87C7D,network,disabled,CR_3_0_V,,A02253,,
5CC7C1F7F69C,network,disabled,CR_3_0_V,,A01928,,
5CC7C1F7D9BD,network,disabled,CR_3_0_V,,A02264,,
5CC7C1F7E1F1,network,disabled,CR_3_0_V,,A01955,,
5CC7C1F87332,network,disabled,CR_3_0_V,,A01930,,
5CC7C1F7D669,network,disabled,CR_3_0_V,,A01921,,
5CC7C1F7E6CF,network,disabled,CR_3_0_V,,A01821,,
5CC7C1F7EF3C,network,disabled,CR_3_0_V,,A01802,,
5CC7C1F7F6AF,network,disabled,CR_3_0_V,,A01828,,
5CC7C1F7E4B0,network,disabled,CR_3_0_V,,A01876,,
5CC7C1F88F3C,network,disabled,CR_3_0_V,,A02271,,
5CC7C1F87AD1,network,disabled,CR_3_0_V,,A01950,,
5CC7C1F898DB,network,disabled,CR_3_0_V,,A02250,,
5CC7C1F83AA1,network,disabled,CR_3_0_V,,A01938,,
5CC7C1F87AB9,network,disabled,CR_3_0_V,,A01871,,
5CC7C1F7E85E,network,disabled,CR_3_0_V,,A01935,,
5CC7C1F830AD,network,disabled,CR_3_0_V,,A01931,,
5CC7C1F7EE1B,network,disabled,CR_3_0_V,,A01849,,
5CC7C1F89A13,network,disabled,CR_3_0_V,,A02134,,
5CC7C1F897CD,network,disabled,CR_3_0_V,,A02280,,
5CC7C1F7D9AD,network,disabled,CR_3_0_V,,A02283,,
5CC7C1F7D7E7,network,disabled,CR_3_0_V,,A02296,,
5CC7C1F834E0,network,disabled,CR_3_0_V,,A01896,,
5CC7C1F7E989,network,disabled,CR_3_0_V,,A02128,,
5CC7C1F7EF4D,network,disabled,CR_3_0_V,,A01925,,
5CC7C1F7E4E4,network,disabled,CR_3_0_V,,A02144,,
5CC7C1F7D310,network,disabled,CR_3_0_V,,A02298,,
5CC7C1F7E974,network,disabled,CR_3_0_V,,A01813,,
5CC7C1F7D9DA,network,disabled,CR_3_0_V,,A02043,,
