map_id,position_timestamp,tag_x,tag_y,cov_xx,cov_xy,cov_yx,cov_yy,true_map_id,682c66de8cde618ce1270230_total_anchors,682c66de8cde618ce1270230_anchors_used,682c66de8cde618ce1270230_anchors_hearing,682c66de8cde618ce1270230_avg_rssi,682c66de8cde618ce1270230_max_rssi,682c66de8cde618ce1270230_min_rssi,682c66de8cde618ce1270230_rssi_std,682c66de8cde618ce1270230_rssi_range,682c66f08cde618ce127025e_total_anchors,682c66f08cde618ce127025e_anchors_used,682c66f08cde618ce127025e_anchors_hearing,682c66f08cde618ce127025e_avg_rssi,682c66f08cde618ce127025e_max_rssi,682c66f08cde618ce127025e_min_rssi,682c66f08cde618ce127025e_rssi_std,682c66f08cde618ce127025e_rssi_range
682c66f08cde618ce127025e,1753354684207,49.98,37.06,0.26308374522105843,-0.0404466612794355,-0.0404466612794355,0.14544886355295542,682c66de8cde618ce1270230,9,8,9,-104.09222222222222,-92.39,-119.3,8.580302701213077,26.909999999999997,4,0,4,-103.7625,-96.35,-108.34,5.187692968298467,11.990000000000009
682c66f08cde618ce127025e,1753354684835,50.01,37.05,0.24294649040098348,-0.048533540448936596,-0.048533540448936596,0.13191873350523844,682c66de8cde618ce1270230,9,8,9,-103.19,-91.41,-114.04,7.170516020482768,22.63000000000001,5,0,5,-105.54599999999999,-97.1,-115.24,6.849958394034229,18.14
682c66f08cde618ce127025e,1753354685717,50.01,37.04,0.2749129513994786,-0.057400723615978554,-0.057400723615978554,0.1388226906481208,682c66de8cde618ce1270230,9,7,9,-103.19,-91.41,-114.04,7.170516020482768,22.63000000000001,5,0,5,-105.54599999999999,-97.1,-115.24,6.849958394034229,18.14
682c66f08cde618ce127025e,1753354686564,50.04,37.05,0.24293037326820685,-0.014757239588794803,-0.014757239588794803,0.07662959172139813,682c66de8cde618ce1270230,9,8,9,-104.09555555555556,-95.01,-113.15,7.270995652438376,18.14,4,0,4,-104.275,-95.23,-107.67,6.046186125704918,12.439999999999998
682c66f08cde618ce127025e,1753354687156,50.06,37.04,0.2657069816158059,-0.00975665396567819,-0.00975665396567819,0.0770765462135558,682c66de8cde618ce1270230,8,7,8,-102.7325,-91.58,-114.16,7.855323490656328,22.58,4,0,4,-102.85,-96.12,-107.28,5.005590208290459,11.159999999999997
682c66f08cde618ce127025e,1753354687358,50.05,37.02,0.2634448165876709,-0.018362066682625876,-0.018362066682625876,0.11594499697844021,682c66de8cde618ce1270230,8,6,8,-102.7325,-91.58,-114.16,7.855323490656328,22.58,4,0,4,-102.85,-96.12,-107.28,5.005590208290459,11.159999999999997
682c66de8cde618ce1270230,1753354687527,50.81,34.94,0.2962841712598144,0.03832275694602595,0.03832275694602595,0.12482413881779576,682c66de8cde618ce1270230,7,5,7,-104.32571428571428,-96.12,-114.16,6.949774234085729,18.039999999999992,4,0,4,-102.85,-96.12,-107.28,5.005590208290459,11.159999999999997
682c66f08cde618ce127025e,1753354687739,50.83,34.95,0.2962841712598144,0.03832275694602595,0.03832275694602595,0.12482413881779576,682c66de8cde618ce1270230,7,5,7,-104.32571428571428,-96.12,-114.16,6.949774234085729,18.039999999999992,4,0,4,-102.85,-96.12,-107.28,5.005590208290459,11.159999999999997
682c66f08cde618ce127025e,1753354688031,50.86,34.97,0.27079356224733103,-0.10849908638149308,-0.10849908638149308,0.27574388702324304,682c66de8cde618ce1270230,5,4,5,-101.754,-93.95,-113.51,7.9574512251097085,19.560000000000002,3,0,3,-103.75666666666666,-96.84,-108.35,6.096591944138404,11.509999999999991
682c66f08cde618ce127025e,1753354688527,50.85,34.99,0.4002752496049053,0.010317394051924604,0.010317394051924604,0.08528552516859196,682c66de8cde618ce1270230,6,6,6,-101.24,-93.24,-111.86,6.239317270342968,18.620000000000005,2,0,2,-100.11,-97.35,-102.87,3.9032294321497494,5.52000000000001
682c66f08cde618ce127025e,1753354689201,50.85,35.02,0.26002229265890664,-0.06283465176806184,-0.06283465176806184,0.11959571367992947,682c66de8cde618ce1270230,8,7,8,-103.17875,-90.64,-113.08,8.071208862369998,22.439999999999998,4,0,4,-104.435,-95.71,-108.43,6.00386819753177,12.720000000000013
682c66f08cde618ce127025e,1753354689638,50.85,35.04,0.2836799747480418,-0.012724694388813924,-0.012724694388813924,0.11587860959264515,682c66de8cde618ce1270230,8,6,8,-103.17875,-90.64,-113.08,8.071208862369998,22.439999999999998,4,0,4,-104.435,-95.71,-108.43,6.00386819753177,12.720000000000013
