map_id,position_timestamp,tag_x,tag_y,cov_xx,cov_xy,cov_yx,cov_yy,true_map_id,682c66de8cde618ce1270230_total_anchors,682c66de8cde618ce1270230_anchors_used,682c66de8cde618ce1270230_anchors_hearing,682c66de8cde618ce1270230_avg_rssi,682c66de8cde618ce1270230_max_rssi,682c66de8cde618ce1270230_min_rssi,682c66de8cde618ce1270230_rssi_std,682c66de8cde618ce1270230_rssi_range,682c66f08cde618ce127025e_total_anchors,682c66f08cde618ce127025e_anchors_used,682c66f08cde618ce127025e_anchors_hearing,682c66f08cde618ce127025e_avg_rssi,682c66f08cde618ce127025e_max_rssi,682c66f08cde618ce127025e_min_rssi,682c66f08cde618ce127025e_rssi_std,682c66f08cde618ce127025e_rssi_range
682c66f08cde618ce127025e,1753354683634,53.69,37.39,0.23324102800624572,0.08296395878273953,0.08296395878273953,0.10622482534861871,682c66de8cde618ce1270230,6,6,6,-100.82333333333334,-87.39,-112.07,9.09842550481492,24.679999999999993,2,0,2,-102.465,-102.39,-102.54,0.10606601717798615,0.15000000000000568
682c66f08cde618ce127025e,1753354684230,53.7,37.36,0.21910340858216729,-0.19344497683307346,-0.19344497683307346,1.846412946990869,682c66de8cde618ce1270230,6,0,6,-101.38333333333333,-91.42,-113.28,8.364072373351792,21.86,3,3,3,-105.40333333333334,-102.03,-111.44,5.2399459284741985,9.409999999999997
682c66f08cde618ce127025e,1753354684997,53.7,37.34,0.21971201655180034,-0.1958381691936275,-0.1958381691936275,1.8775388214358815,682c66de8cde618ce1270230,5,0,5,-103.184,-91.42,-113.28,7.945384194612618,21.86,3,3,3,-105.40333333333334,-102.03,-111.44,5.2399459284741985,9.409999999999997
682c66f08cde618ce127025e,1753354686122,53.71,37.36,0.1878018644835338,0.06991721709525166,0.06991721709525166,0.10011490845467068,682c66de8cde618ce1270230,7,7,7,-102.04428571428572,-87.23,-113.61,9.96400665251828,26.379999999999995,3,0,3,-105.92666666666666,-101.57,-113.61,6.673861950425209,12.040000000000006
682c66f08cde618ce127025e,1753354686967,53.71,37.34,0.2328285154688513,0.08065285606726008,0.08065285606726008,0.10482680907967973,682c66de8cde618ce1270230,6,6,6,-100.27,-87.37,-112.68,9.389193788606132,25.310000000000002,3,0,3,-105.17666666666666,-101.8,-111.63,5.590763215638213,9.829999999999998
682c66f08cde618ce127025e,1753354687191,53.7,37.35,0.2491611765635532,0.08174319286914511,0.08174319286914511,0.09761943685385367,682c66de8cde618ce1270230,6,6,6,-100.84833333333333,-87.79,-112.87,9.491902689485743,25.08,2,0,2,-102.745,-102.21,-103.28,0.7566042558696111,1.0700000000000074
682c66f08cde618ce127025e,1753354687429,53.69,37.34,0.17834109193335854,-0.15787293057172663,-0.15787293057172663,0.4934836739770791,682c66de8cde618ce1270230,6,5,6,-100.84833333333333,-87.79,-112.87,9.491902689485743,25.08,2,0,2,-102.745,-102.21,-103.28,0.7566042558696111,1.0700000000000074
682c66f08cde618ce127025e,1753354687530,53.68,37.33,0.241504721210428,-0.18524638592956952,-0.18524638592956952,0.8992226228699697,682c66de8cde618ce1270230,6,0,6,-100.53666666666666,-88.06,-112.68,9.121391706678686,24.620000000000005,3,3,3,-106.66333333333333,-101.55,-115.84,7.964548532925981,14.290000000000006
682c66f08cde618ce127025e,1753354687905,53.66,37.34,0.24132290770171413,-0.185541374140361,-0.185541374140361,0.9024143184990447,682c66de8cde618ce1270230,6,0,6,-100.53666666666666,-88.06,-112.68,9.121391706678686,24.620000000000005,3,3,3,-106.66333333333333,-101.55,-115.84,7.964548532925981,14.290000000000006
682c66f08cde618ce127025e,1753354688317,53.64,37.32,0.24591786917027728,-0.1804398848552713,-0.1804398848552713,0.8310653319814313,682c66de8cde618ce1270230,6,0,6,-100.68,-88.14,-113.59,9.312505570468133,25.450000000000003,3,3,3,-106.86,-101.14,-116.42,8.332394613795007,15.280000000000001
682c66f08cde618ce127025e,1753354688943,53.63,37.35,0.24753917218901791,-0.17991650718494914,-0.17991650718494914,0.8101798694500653,682c66de8cde618ce1270230,6,0,6,-100.68,-88.14,-113.59,9.312505570468133,25.450000000000003,3,3,3,-106.86,-101.14,-116.42,8.332394613795007,15.280000000000001
